1 4 11 18
2 9 12 19
3 10 17 20
5 8 15 22
6 13 16 23
7 14 21 24
25 34 37 46
26 29 38 41
27 36 39 48
28 31 40 43
30 33 42 45
32 35 44 47
49 60 62 71
50 59 61 72
51 53 64 66
52 54 63 65
55 57 68 70
56 58 67 69
73 82 85 94
74 77 86 89
75 84 87 96
76 79 88 91
78 81 90 93
80 83 92 95
97 108 110 119
98 107 109 120
99 101 112 114
100 102 111 113
103 105 116 118
104 106 115 117
121 124 131 138
122 129 132 139
123 130 137 140
125 128 135 142
126 133 136 143
127 134 141 144
